Start - HH:MM:SS:NANOSECONDS,End - HH:MM:SS:NANOSECONDS,Difference in NANOSECONDS
00:05:31:072680767,00:05:31:072849482,168715
00:05:31:072849747,00:05:31:073010229,160482
00:05:31:073010400,00:05:31:073187789,177389
00:05:31:073187959,00:05:31:073357176,169217
00:05:31:073357352,00:05:31:073526438,169086
00:05:31:073526601,00:05:31:073709387,182786
00:05:31:073709653,00:05:31:073876100,166447
00:05:31:073876316,00:05:31:074032198,155882
00:05:31:074032351,00:05:31:074200905,168554
00:05:31:074201058,00:05:31:074370549,169491
00:05:31:074370696,00:05:31:074539483,168787
00:05:31:074539890,00:05:31:074723131,183241
00:05:31:074723452,00:05:31:074902941,179489
00:05:31:074903193,00:05:31:075072721,169528
00:05:31:075072886,00:05:31:075241855,168969
00:05:31:075242080,00:05:31:075424209,182129
00:05:31:075424583,00:05:31:075593072,168489
00:05:31:075593240,00:05:31:075762849,169609
00:05:31:075763169,00:05:31:075939834,176665
00:05:31:075940027,00:05:31:076095458,155431
00:05:31:076095629,00:05:31:076250302,154673
00:05:31:076250467,00:05:31:076421604,171137
00:05:31:076421871,00:05:31:076621627,199756
00:05:31:076622287,00:05:31:076827459,205172
00:05:31:076827724,00:05:31:077005640,177916
00:05:31:077005828,00:05:31:077161679,155851
00:05:31:077161844,00:05:31:077320982,159138
00:05:31:077321132,00:05:31:077500667,179535
00:05:31:077500823,00:05:31:077672646,171823
00:05:31:077672829,00:05:31:077850154,177325
00:05:31:077850330,00:05:31:078022879,172549
00:05:31:078023042,00:05:31:078187480,164438
00:05:31:078187640,00:05:31:078347903,160263
00:05:31:078348073,00:05:31:078504184,156111
00:05:31:078504333,00:05:31:078664179,159846
00:05:31:078664351,00:05:31:078824334,159983
00:05:31:078824504,00:05:31:078993810,169306
00:05:31:078993982,00:05:31:079167271,173289
00:05:31:079167426,00:05:31:079322300,154874
00:05:31:079322463,00:05:31:079478835,156372
00:05:31:079478995,00:05:31:079644997,166002
00:05:31:079645163,00:05:31:079813894,168731
00:05:31:079814000,00:05:31:079969648,155648
00:05:31:079969817,00:05:31:080125456,155639
00:05:31:080125625,00:05:31:080280581,154956
00:05:31:080280732,00:05:31:080436570,155838
00:05:31:080436726,00:05:31:080593292,156566
00:05:31:080593443,00:05:31:080762769,169326
00:05:31:080762961,00:05:31:080916772,153811
00:05:31:080916934,00:05:31:081086957,170023
00:05:31:081087125,00:05:31:081243162,156037
00:05:31:081243321,00:05:31:081412557,169236
00:05:31:081412710,00:05:31:081567556,154846
00:05:31:081567718,00:05:31:081725847,158129
00:05:31:081726023,00:05:31:081893171,167148
00:05:31:081893331,00:05:31:082048227,154896
00:05:31:082048388,00:05:31:082218105,169717
00:05:31:082218250,00:05:31:082377925,159675
00:05:31:082378082,00:05:31:082529331,151249
00:05:31:082529481,00:05:31:082689160,159679
00:05:31:082689323,00:05:31:082841647,152324
00:05:31:082841756,00:05:31:082998383,156627
00:05:31:082998490,00:05:31:083167132,168642
00:05:31:083167284,00:05:31:083335282,167998
00:05:31:083335442,00:05:31:083492168,156726
00:05:31:083492332,00:05:31:083661232,168900
00:05:31:083661398,00:05:31:083817801,156403
00:05:31:083817908,00:05:31:083989889,171981
00:05:31:083990058,00:05:31:084145332,155274
00:05:31:084145510,00:05:31:084312184,166674
00:05:31:084312348,00:05:31:084470570,158222
00:05:31:084470729,00:05:31:084628061,157332
00:05:31:084628233,00:05:31:084795947,167714
00:05:31:084796091,00:05:31:084947802,151711
00:05:31:084947958,00:05:31:085108176,160218
00:05:31:085108340,00:05:31:085275135,166795
00:05:31:085275300,00:05:31:085445861,170561
00:05:31:085446011,00:05:31:085602075,156064
00:05:31:085602231,00:05:31:085754280,152049
00:05:31:085754427,00:05:31:085927550,173123
00:05:31:085927670,00:05:31:086109160,181490
00:05:31:086109323,00:05:31:086273296,163973
00:05:31:086273448,00:05:31:086433916,160468
00:05:31:086434125,00:05:31:086602829,168704
00:05:31:086602974,00:05:31:086757867,154893
00:05:31:086758026,00:05:31:086916992,158966
00:05:31:086917160,00:05:31:087084349,167189
00:05:31:087084534,00:05:31:087253278,168744
00:05:31:087253448,00:05:31:087435388,181940
00:05:31:087435592,00:05:31:087604470,168878
00:05:31:087604632,00:05:31:087774972,170340
00:05:31:087775214,00:05:31:087942930,167716
00:05:31:087943139,00:05:31:088111620,168481
00:05:31:088111781,00:05:31:088293369,181588
00:05:31:088293518,00:05:31:088449615,156097
00:05:31:088449791,00:05:31:088632154,182363
00:05:31:088632323,00:05:31:088800627,168304
00:05:31:088800786,00:05:31:088969730,168944
00:05:31:088969881,00:05:31:089138060,168179
00:05:31:089138211,00:05:31:089293990,155779
00:05:31:089294148,00:05:31:089463408,169260
00:05:31:089463605,00:05:31:089646210,182605
00:05:31:089646378,00:05:31:089813517,167139
00:05:31:089813678,00:05:31:089978016,164338
00:05:31:089978181,00:05:31:090138644,160463
00:05:31:090138799,00:05:31:090304113,165314
00:05:31:090304263,00:05:31:090473770,169507
00:05:31:090473952,00:05:31:090628949,154997
00:05:31:090629153,00:05:31:090785099,155946
00:05:31:090785259,00:05:31:090943178,157919
00:05:31:090943338,00:05:31:091099404,156066
00:05:31:091099558,00:05:31:091265223,165665
00:05:31:091265372,00:05:31:091426748,161376
00:05:31:091426894,00:05:31:091603291,176397
00:05:31:091603534,00:05:31:091777015,173481
00:05:31:091777178,00:05:31:091945349,168171
00:05:31:091945510,00:05:31:092114311,168801
00:05:31:092114478,00:05:31:092270317,155839
00:05:31:092270477,00:05:31:092426094,155617
00:05:31:092426266,00:05:31:092590896,164630
