Start - HH:MM:SS:NANOSECONDS,End - HH:MM:SS:NANOSECONDS,Difference in NANOSECONDS
00:06:35:729526221,00:06:35:729681648,155427
00:06:35:729681822,00:06:35:729837524,155702
00:06:35:729837692,00:06:35:729993796,156104
00:06:35:729993954,00:06:35:730149790,155836
00:06:35:730149964,00:06:35:730305995,156031
00:06:35:730306161,00:06:35:730474728,168567
00:06:35:730474887,00:06:35:730632758,157871
00:06:35:730632923,00:06:35:730799922,166999
00:06:35:730800098,00:06:35:730955612,155514
00:06:35:730955772,00:06:35:731111500,155728
00:06:35:731111659,00:06:35:731280977,169318
00:06:35:731281147,00:06:35:731448445,167298
00:06:35:731448609,00:06:35:731605678,157069
00:06:35:731605860,00:06:35:731762047,156187
00:06:35:731762222,00:06:35:731930335,168113
00:06:35:731930506,00:06:35:732085096,154590
00:06:35:732085262,00:06:35:732256068,170806
00:06:35:732256243,00:06:35:732411340,155097
00:06:35:732411521,00:06:35:732581285,169764
00:06:35:732581457,00:06:35:732749913,168456
00:06:35:732750088,00:06:35:732905524,155436
00:06:35:732905701,00:06:35:733061490,155789
00:06:35:733061669,00:06:35:733218215,156546
00:06:35:733218388,00:06:35:733373399,155011
00:06:35:733373569,00:06:35:733529573,156004
00:06:35:733529743,00:06:35:733685714,155971
00:06:35:733685881,00:06:35:733854818,168937
00:06:35:733854982,00:06:35:734010407,155425
00:06:35:734010565,00:06:35:734166340,155775
00:06:35:734166496,00:06:35:734335137,168641
00:06:35:734335303,00:06:35:734491861,156558
00:06:35:734492022,00:06:35:734673796,181774
00:06:35:734673964,00:06:35:734842859,168895
00:06:35:734843042,00:06:35:734998528,155486
00:06:35:734998698,00:06:35:735154804,156106
00:06:35:735154942,00:06:35:735310688,155746
00:06:35:735310862,00:06:35:735466986,156124
00:06:35:735467164,00:06:35:735622294,155130
00:06:35:735624464,00:06:35:735792582,168118
00:06:35:735792744,00:06:35:735960283,167539
00:06:35:735960443,00:06:35:736116340,155897
00:06:35:736116508,00:06:35:736272313,155805
00:06:35:736272474,00:06:35:736441655,169181
00:06:35:736441821,00:06:35:736597481,155660
00:06:35:736597640,00:06:35:736766768,169128
00:06:35:736766941,00:06:35:736921753,154812
00:06:35:736921938,00:06:35:737078912,156974
00:06:35:737079075,00:06:35:737234545,155470
00:06:35:737234718,00:06:35:737390962,156244
00:06:35:737391143,00:06:35:737546822,155679
00:06:35:737546989,00:06:35:737702773,155784
00:06:35:737702938,00:06:35:737858270,155332
00:06:35:737858434,00:06:35:738014296,155862
00:06:35:738014459,00:06:35:738170645,156186
00:06:35:738170822,00:06:35:738326889,156067
00:06:35:738327007,00:06:35:738482476,155469
00:06:35:738482641,00:06:35:738638943,156302
00:06:35:738639122,00:06:35:738807753,168631
00:06:35:738807929,00:06:35:738963460,155531
00:06:35:738963630,00:06:35:739119288,155658
00:06:35:739119449,00:06:35:739275268,155819
00:06:35:739275437,00:06:35:739431244,155807
00:06:35:739431407,00:06:35:739587466,156059
00:06:35:739587628,00:06:35:739743942,156314
00:06:35:739744116,00:06:35:739912706,168590
00:06:35:739912881,00:06:35:740081485,168604
00:06:35:740081653,00:06:35:740250781,169128
00:06:35:740250948,00:06:35:740419194,168246
00:06:35:740419383,00:06:35:740575548,156165
00:06:35:740575707,00:06:35:740731846,156139
00:06:35:740732028,00:06:35:740913553,181525
00:06:35:740913720,00:06:35:741068617,154897
00:06:35:741068796,00:06:35:741225299,156503
00:06:35:741225457,00:06:35:741381327,155870
00:06:35:741381499,00:06:35:741537558,156059
00:06:35:741537740,00:06:35:741695061,157321
00:06:35:741695236,00:06:35:741862961,167725
00:06:35:741863127,00:06:35:742031543,168416
00:06:35:742031718,00:06:35:742187881,156163
00:06:35:742188041,00:06:35:742343285,155244
00:06:35:742343444,00:06:35:742499493,156049
00:06:35:742499672,00:06:35:742655655,155983
00:06:35:742655823,00:06:35:742812316,156493
00:06:35:742812486,00:06:35:742967426,154940
00:06:35:742967601,00:06:35:743123465,155864
00:06:35:743123633,00:06:35:743279681,156048
00:06:35:743279853,00:06:35:743435878,156025
00:06:35:743436048,00:06:35:743604012,167964
00:06:35:743604169,00:06:35:743760611,156442
00:06:35:743760783,00:06:35:743929381,168598
00:06:35:743929544,00:06:35:744085316,155772
00:06:35:744085475,00:06:35:744254012,168537
00:06:35:744254174,00:06:35:744410172,155998
00:06:35:744410365,00:06:35:744566626,156261
00:06:35:744566788,00:06:35:744723374,156586
00:06:35:744723548,00:06:35:744892171,168623
00:06:35:744892346,00:06:35:745047484,155138
00:06:35:745047646,00:06:35:745203217,155571
00:06:35:745203394,00:06:35:745359719,156325
00:06:35:745359879,00:06:35:745529205,169326
00:06:35:745529363,00:06:35:745697991,168628
00:06:35:745698161,00:06:35:745853727,155566
00:06:35:745853891,00:06:35:746022585,168694
00:06:35:746022764,00:06:35:746178021,155257
00:06:35:746178182,00:06:35:746346950,168768
00:06:35:746347111,00:06:35:746503032,155921
00:06:35:746503191,00:06:35:746660070,156879
00:06:35:746660243,00:06:35:746828332,168089
00:06:35:746828524,00:06:35:746984595,156071
00:06:35:746984762,00:06:35:747153427,168665
00:06:35:747153589,00:06:35:747309644,156055
00:06:35:747309811,00:06:35:747465305,155494
00:06:35:747465472,00:06:35:747621167,155695
00:06:35:747621323,00:06:35:747790853,169530
00:06:35:747791029,00:06:35:747959292,168263
00:06:35:747959465,00:06:35:748115159,155694
00:06:35:748115327,00:06:35:748283625,168298
00:06:35:748283790,00:06:35:748453032,169242
00:06:35:748453194,00:06:35:748609196,156002
00:06:35:748609354,00:06:35:748765292,155938
00:06:35:748765474,00:06:35:748934347,168873
00:06:35:748934525,00:06:35:749090628,156103
00:06:35:749090792,00:06:35:749259666,168874
00:06:35:749259827,00:06:35:749415274,155447
00:06:35:749415450,00:06:35:749571254,155804
00:06:35:749571422,00:06:35:749727221,155799
