Start - HH:MM:SS:NANOSECONDS,End - HH:MM:SS:NANOSECONDS,Difference in NANOSECONDS
00:20:00:097438594,00:20:00:097583657,145063
00:20:00:097583871,00:20:00:097728755,144884
00:20:00:097729022,00:20:00:097881185,152163
00:20:00:097881418,00:20:00:098022926,141508
00:20:00:098023149,00:20:00:098167230,144081
00:20:00:098167449,00:20:00:098310973,143524
00:20:00:098311187,00:20:00:098455481,144294
00:20:00:098455692,00:20:00:098599462,143770
00:20:00:098599735,00:20:00:098748613,148878
00:20:00:098749029,00:20:00:098898841,149812
00:20:00:098899270,00:20:00:099053244,153974
00:20:00:099053855,00:20:00:099204615,150760
00:20:00:099205052,00:20:00:099349138,144086
00:20:00:099349639,00:20:00:099498664,149025
00:20:00:099498902,00:20:00:099645127,146225
00:20:00:099645358,00:20:00:099799109,153751
00:20:00:099799377,00:20:00:099942281,142904
00:20:00:099942493,00:20:00:100085862,143369
00:20:00:100086207,00:20:00:100231154,144947
00:20:00:100231468,00:20:00:100384102,152634
00:20:00:100384324,00:20:00:100535970,151646
00:20:00:100536206,00:20:00:100690077,153871
00:20:00:100690341,00:20:00:100832036,141695
00:20:00:100832259,00:20:00:100977421,145162
00:20:00:100977642,00:20:00:101121277,143635
00:20:00:101121501,00:20:00:101265574,144073
00:20:00:101265805,00:20:00:101409655,143850
00:20:00:101409926,00:20:00:101551714,141788
00:20:00:101552002,00:20:00:101706928,154926
00:20:00:101707334,00:20:00:101850185,142851
00:20:00:101850412,00:20:00:101993734,143322
00:20:00:101993943,00:20:00:102135923,141980
00:20:00:102136144,00:20:00:102281469,145325
00:20:00:102281703,00:20:00:102424065,142362
00:20:00:102424294,00:20:00:102569266,144972
00:20:00:102569644,00:20:00:102714789,145145
00:20:00:102715057,00:20:00:102858195,143138
00:20:00:102858430,00:20:00:103002314,143884
00:20:00:103002540,00:20:00:103147482,144942
00:20:00:103147746,00:20:00:103288867,141121
00:20:00:103289096,00:20:00:103435612,146516
00:20:00:103435817,00:20:00:103579182,143365
00:20:00:103579424,00:20:00:103725012,145588
00:20:00:103725255,00:20:00:103866631,141376
00:20:00:103866842,00:20:00:104009999,143157
00:20:00:104010258,00:20:00:104155226,144968
00:20:00:104155446,00:20:00:104298763,143317
00:20:00:104299018,00:20:00:104450503,151485
00:20:00:104450721,00:20:00:104592961,142240
00:20:00:104593180,00:20:00:104752513,159333
00:20:00:104752802,00:20:00:104899706,146904
00:20:00:104899934,00:20:00:105043781,143847
00:20:00:105043996,00:20:00:105188643,144647
00:20:00:105188871,00:20:00:105330024,141153
00:20:00:105330210,00:20:00:105483623,153413
00:20:00:105483845,00:20:00:105629723,145878
00:20:00:105630276,00:20:00:105774699,144423
00:20:00:105775253,00:20:00:105920291,145038
00:20:00:105920842,00:20:00:106070658,149816
00:20:00:106071093,00:20:00:106213294,142201
00:20:00:106213611,00:20:00:106357886,144275
00:20:00:106358100,00:20:00:106501533,143433
00:20:00:106501780,00:20:00:106644959,143179
00:20:00:106645205,00:20:00:106791915,146710
00:20:00:106792203,00:20:00:106932698,140495
00:20:00:106932897,00:20:00:107075485,142588
00:20:00:107075670,00:20:00:107212185,136515
00:20:00:107212449,00:20:00:107365877,153428
00:20:00:107366090,00:20:00:107508125,142035
00:20:00:107508321,00:20:00:107653797,145476
00:20:00:107653989,00:20:00:107797818,143829
00:20:00:107798029,00:20:00:107941822,143793
00:20:00:107942097,00:20:00:108085883,143786
00:20:00:108086136,00:20:00:108231981,145845
00:20:00:108232229,00:20:00:108385066,152837
00:20:00:108385290,00:20:00:108537576,152286
00:20:00:108537804,00:20:00:108683866,146062
00:20:00:108684223,00:20:00:108834958,150735
00:20:00:108835219,00:20:00:108979184,143965
00:20:00:108979439,00:20:00:109122429,142990
00:20:00:109122666,00:20:00:120444836,11322170
00:20:00:120446505,00:20:00:124412487,3965982
00:20:00:124413518,00:20:00:128418398,4004880
00:20:00:128420012,00:20:00:128589526,169514
00:20:00:128590286,00:20:00:128734030,143744
00:20:00:128734372,00:20:00:128889932,155560
00:20:00:128890208,00:20:00:129039331,149123
00:20:00:129039554,00:20:00:129183277,143723
00:20:00:129183617,00:20:00:129324323,140706
00:20:00:129324607,00:20:00:129469133,144526
00:20:00:129469469,00:20:00:129623611,154142
00:20:00:129623809,00:20:00:129768338,144529
00:20:00:129768602,00:20:00:129909040,140438
00:20:00:129909256,00:20:00:130053541,144285
00:20:00:130053754,00:20:00:130217045,163291
00:20:00:130217253,00:20:00:130359566,142313
00:20:00:130359783,00:20:00:130504478,144695
00:20:00:130504686,00:20:00:130649263,144577
00:20:00:130649476,00:20:00:130796194,146718
00:20:00:130796518,00:20:00:130944638,148120
00:20:00:130944851,00:20:00:131090381,145530
00:20:00:131090591,00:20:00:131234268,143677
00:20:00:131234474,00:20:00:131377288,142814
00:20:00:131377481,00:20:00:131521840,144359
00:20:00:131522044,00:20:00:131671096,149052
00:20:00:131671343,00:20:00:131812549,141206
00:20:00:131812869,00:20:00:131956031,143162
00:20:00:131956270,00:20:00:132099034,142764
00:20:00:132099319,00:20:00:132243013,143694
00:20:00:132243277,00:20:00:132394560,151283
00:20:00:132394889,00:20:00:132547401,152512
00:20:00:132547596,00:20:00:132691846,144250
00:20:00:132692076,00:20:00:132836219,144143
00:20:00:132836432,00:20:00:132980457,144025
00:20:00:132980663,00:20:00:133132079,151416
00:20:00:133132310,00:20:00:133288708,156398
00:20:00:133288917,00:20:00:133428419,139502
00:20:00:133428613,00:20:00:133571717,143104
00:20:00:133571916,00:20:00:133709963,138047
00:20:00:133710196,00:20:00:133874888,164692
00:20:00:133875205,00:20:00:134023406,148201
00:20:00:134023806,00:20:00:134188601,164795
00:20:00:134189090,00:20:00:134352519,163429
00:20:00:134353091,00:20:00:134503956,150865
00:20:00:134504423,00:20:00:134653485,149062
00:20:00:134653839,00:20:00:134800752,146913
00:20:00:134801019,00:20:00:134945342,144323
00:20:00:134945656,00:20:00:135086123,140467
00:20:00:135086360,00:20:00:135229638,143278
00:20:00:135229873,00:20:00:135374515,144642
00:20:00:135374715,00:20:00:135518888,144173
00:20:00:135519102,00:20:00:135662725,143623
00:20:00:135662939,00:20:00:135807235,144296
00:20:00:135807481,00:20:00:135950977,143496
00:20:00:135951307,00:20:00:136095245,143938
00:20:00:136095525,00:20:00:136238113,142588
00:20:00:136238336,00:20:00:136394461,156125
00:20:00:136394738,00:20:00:136545114,150376
00:20:00:136545411,00:20:00:136688006,142595
00:20:00:136688270,00:20:00:136830448,142178
00:20:00:136830678,00:20:00:136976167,145489
00:20:00:136976398,00:20:00:137118281,141883
00:20:00:137118489,00:20:00:137262657,144168
00:20:00:137262862,00:20:00:137406351,143489
00:20:00:137406584,00:20:00:137552660,146076
00:20:00:137552883,00:20:00:137706586,153703
00:20:00:137706856,00:20:00:137848480,141624
00:20:00:137848773,00:20:00:137994459,145686
00:20:00:137994687,00:20:00:138135566,140879
00:20:00:138135779,00:20:00:138281631,145852
00:20:00:138281846,00:20:00:138426328,144482
00:20:00:138426545,00:20:00:138567462,140917
00:20:00:138567682,00:20:00:138715247,147565
00:20:00:138715503,00:20:00:138857518,142015
00:20:00:138857751,00:20:00:139002674,144923
00:20:00:139002914,00:20:00:139146774,143860
00:20:00:139147035,00:20:00:139287948,140913
00:20:00:139288153,00:20:00:139433019,144866
00:20:00:139433225,00:20:00:139577610,144385
00:20:00:139577868,00:20:00:139720791,142923
00:20:00:139721022,00:20:00:139863851,142829
00:20:00:139864066,00:20:00:140007614,143548
00:20:00:140007826,00:20:00:140152100,144274
00:20:00:140152317,00:20:00:140294512,142195
00:20:00:140294695,00:20:00:140447395,152700
00:20:00:140447575,00:20:00:140602148,154573
00:20:00:140602347,00:20:00:140753932,151585
00:20:00:140754175,00:20:00:140901754,147579
00:20:00:140902398,00:20:00:141055279,152881
00:20:00:141055801,00:20:00:141216233,160432
00:20:00:141216738,00:20:00:141372156,155418
00:20:00:141372611,00:20:00:141531457,158846
00:20:00:141531798,00:20:00:141680086,148288
00:20:00:141680346,00:20:00:141828685,148339
00:20:00:141828922,00:20:00:141970904,141982
00:20:00:141971207,00:20:00:142115554,144347
00:20:00:142115762,00:20:00:142258918,143156
00:20:00:142259150,00:20:00:142401795,142645
00:20:00:142402028,00:20:00:142549363,147335
00:20:00:142549586,00:20:00:142701867,152281
00:20:00:142702169,00:20:00:142844720,142551
00:20:00:142845001,00:20:00:142986841,141840
00:20:00:142987059,00:20:00:143131158,144099
00:20:00:143131375,00:20:00:143276077,144702
00:20:00:143276300,00:20:00:143420094,143794
00:20:00:143420465,00:20:00:143564189,143724
00:20:00:143564403,00:20:00:143717264,152861
00:20:00:143717536,00:20:00:143865215,147679
00:20:00:143866305,00:20:00:144021809,155504
00:20:00:144022075,00:20:00:144166432,144357
00:20:00:144166876,00:20:00:144310085,143209
00:20:00:144310328,00:20:00:144461353,151025
00:20:00:144461586,00:20:00:144614002,152416
00:20:00:144614245,00:20:00:144759587,145342
00:20:00:144759856,00:20:00:144902550,142694
00:20:00:144902780,00:20:00:145046461,143681
00:20:00:145046694,00:20:00:145192236,145542
00:20:00:145192492,00:20:00:145345747,153255
00:20:00:145345996,00:20:00:145500021,154025
00:20:00:145500276,00:20:00:145642376,142100
00:20:00:145642628,00:20:00:145788161,145533
00:20:00:145788432,00:20:00:145931338,142906
00:20:00:145931586,00:20:00:146075071,143485
00:20:00:146075331,00:20:00:146228573,153242
00:20:00:146228990,00:20:00:146379807,150817
00:20:00:146380115,00:20:00:146524410,144295
00:20:00:146524654,00:20:00:146675604,150950
00:20:00:146675874,00:20:00:146819717,143843
00:20:00:146819932,00:20:00:146953924,133992
00:20:00:146954151,00:20:00:147100364,146213
00:20:00:147100597,00:20:00:147245537,144940
00:20:00:147245787,00:20:00:147388466,142679
00:20:00:147388718,00:20:00:147532509,143791
00:20:00:147532763,00:20:00:147679923,147160
00:20:00:147680202,00:20:00:147821271,141069
00:20:00:147821522,00:20:00:147964788,143266
00:20:00:147965078,00:20:00:148108674,143596
00:20:00:148108937,00:20:00:148251933,142996
00:20:00:148252286,00:20:00:148413744,161458
00:20:00:148414148,00:20:00:148566045,151897
00:20:00:148566269,00:20:00:148710912,144643
00:20:00:148711140,00:20:00:148855539,144399
00:20:00:148855753,00:20:00:148997114,141361
00:20:00:148997394,00:20:00:149151596,154202
00:20:00:149151859,00:20:00:149298081,146222
00:20:00:149298399,00:20:00:149442611,144212
00:20:00:149442911,00:20:00:149587057,144146
00:20:00:149587342,00:20:00:149731112,143770
00:20:00:149731451,00:20:00:149873458,142007
00:20:00:149873794,00:20:00:150017765,143971
00:20:00:150018087,00:20:00:150162774,144687
00:20:00:150163100,00:20:00:150325831,162731
00:20:00:150326125,00:20:00:150469136,143011
00:20:00:150469507,00:20:00:150612070,142563
00:20:00:150612403,00:20:00:150757925,145522
00:20:00:150758289,00:20:00:150909070,150781
00:20:00:150909384,00:20:00:151061933,152549
00:20:00:151062240,00:20:00:151205847,143607
00:20:00:151206143,00:20:00:151350371,144228
00:20:00:151350665,00:20:00:151493828,143163
00:20:00:151494141,00:20:00:151637473,143332
00:20:00:151637762,00:20:00:151783000,145238
00:20:00:151783354,00:20:00:151926043,142689
00:20:00:151926379,00:20:00:152070283,143904
00:20:00:152070607,00:20:00:152213967,143360
00:20:00:152214264,00:20:00:152358667,144403
00:20:00:152358976,00:20:00:152514334,155358
00:20:00:152514859,00:20:00:152668786,153927
00:20:00:152669237,00:20:00:152828266,159029
00:20:00:152828566,00:20:00:152980278,151712
00:20:00:152980595,00:20:00:153125005,144410
00:20:00:153125376,00:20:00:153267703,142327
00:20:00:153268032,00:20:00:153411350,143318
00:20:00:153411635,00:20:00:153555358,143723
00:20:00:153555744,00:20:00:153701174,145430
00:20:00:153701499,00:20:00:172459737,18758238
00:20:00:172460868,00:20:00:176415372,3954504
00:20:00:176416924,00:20:00:176574466,157542
00:20:00:176574745,00:20:00:176721029,146284
00:20:00:176721314,00:20:00:176862633,141319
00:20:00:176862975,00:20:00:177006139,143164
00:20:00:177006410,00:20:00:177149973,143563
00:20:00:177150250,00:20:00:177302466,152216
00:20:00:177302687,00:20:00:177445848,143161
00:20:00:177446087,00:20:00:177590125,144038
00:20:00:177590354,00:20:00:177734734,144380
00:20:00:177734971,00:20:00:177878083,143112
00:20:00:177878317,00:20:00:178021728,143411
00:20:00:178021950,00:20:00:178165827,143877
00:20:00:178166055,00:20:00:178309331,143276
00:20:00:178309599,00:20:00:178447334,137735
00:20:00:178447579,00:20:00:178590054,142475
00:20:00:178590294,00:20:00:178734292,143998
00:20:00:178734580,00:20:00:178879135,144555
00:20:00:178879427,00:20:00:184410019,5530592
00:20:00:184411026,00:20:00:188406818,3995792
00:20:00:188407549,00:20:00:192405503,3997954
00:20:00:192406163,00:20:00:196413020,4006857
00:20:00:196414031,00:20:00:200404168,3990137
00:20:00:200404665,00:20:00:204407810,4003145
00:20:00:204408806,00:20:00:208411500,4002694
00:20:00:208412645,00:20:00:212420513,4007868
00:20:00:212421035,00:20:00:216408243,3987208
00:20:00:216409028,00:20:00:220412906,4003878
00:20:00:220413317,00:20:00:224411367,3998050
00:20:00:224412364,00:20:00:228417340,4004976
00:20:00:228419626,00:20:00:232401198,3981572
00:20:00:232401712,00:20:00:236416337,4014625
00:20:00:236417201,00:20:00:240412188,3994987
00:20:00:240412864,00:20:00:244407521,3994657
00:20:00:244408320,00:20:00:248403025,3994705
00:20:00:248403537,00:20:00:252410724,4007187
00:20:00:252411677,00:20:00:256403642,3991965
00:20:00:256404194,00:20:00:260411017,4006823
00:20:00:260412077,00:20:00:264409624,3997547
00:20:00:264411587,00:20:00:268407215,3995628
00:20:00:268407669,00:20:00:272414776,4007107
00:20:00:272415643,00:20:00:276411979,3996336
00:20:00:276412594,00:20:00:280410405,3997811
00:20:00:280411421,00:20:00:284410400,3998979
00:20:00:284411698,00:20:00:288418656,4006958
00:20:00:288420242,00:20:00:292409244,3989002
00:20:00:292410538,00:20:00:296406705,3996167
00:20:00:296407311,00:20:00:300404817,3997506
00:20:00:300405585,00:20:00:304408881,4003296
00:20:00:304409632,00:20:00:308411674,4002042
00:20:00:308412750,00:20:00:312406437,3993687
00:20:00:312406750,00:20:00:316410481,4003731
00:20:00:316412193,00:20:00:320408115,3995922
00:20:00:320408788,00:20:00:324400207,3991419
00:20:00:324400522,00:20:00:328426004,4025482
00:20:00:328426750,00:20:00:333123630,4696880
00:20:00:333124407,00:20:00:336416332,3291925
00:20:00:336416713,00:20:00:340403087,3986374
00:20:00:340403424,00:20:00:344405010,4001586
00:20:00:344405272,00:20:00:348400231,3994959
00:20:00:348400501,00:20:00:352397691,3997190
00:20:00:352397984,00:20:00:356404078,4006094
00:20:00:356404463,00:20:00:360399289,3994826
00:20:00:360399563,00:20:00:364394381,3994818
00:20:00:364394663,00:20:00:368398652,4003989
00:20:00:368398893,00:20:00:372402252,4003359
00:20:00:372402514,00:20:00:376406499,4003985
00:20:00:376406972,00:20:00:380395344,3988372
00:20:00:380395643,00:20:00:384400496,4004853
00:20:00:384400794,00:20:00:388397377,3996583
00:20:00:388397649,00:20:00:392402199,4004550
00:20:00:392402454,00:20:00:396399263,3996809
00:20:00:396399544,00:20:00:400394837,3995293
00:20:00:400395101,00:20:00:404397509,4002408
00:20:00:404397766,00:20:00:408403658,4005892
00:20:00:408403910,00:20:00:412400110,3996200
00:20:00:412400355,00:20:00:416397423,3997068
00:20:00:416397700,00:20:00:420401814,4004114
00:20:00:420402087,00:20:00:424397461,3995374
00:20:00:424397728,00:20:00:428403200,4005472
00:20:00:428403503,00:20:00:432397726,3994223
00:20:00:432397986,00:20:00:436407469,4009483
00:20:00:436407909,00:20:00:440399199,3991290
00:20:00:440399523,00:20:00:444404199,4004676
00:20:00:444404530,00:20:00:448404665,4000135
00:20:00:448404995,00:20:00:452395038,3990043
00:20:00:452395323,00:20:00:456403281,4007958
00:20:00:456403685,00:20:00:460414043,4010358
00:20:00:460414284,00:20:00:464401250,3986966
00:20:00:464401475,00:20:00:468404777,4003302
00:20:00:468405009,00:20:00:472403381,3998372
00:20:00:472403643,00:20:00:476395822,3992179
00:20:00:476396060,00:20:00:480410253,4014193
00:20:00:480410507,00:20:00:484399528,3989021
00:20:00:484399771,00:20:00:488402889,4003118
00:20:00:488403133,00:20:00:492397809,3994676
00:20:00:492398035,00:20:00:496395689,3997654
00:20:00:496395953,00:20:00:500401352,4005399
00:20:00:500401597,00:20:00:504398875,3997278
00:20:00:504399188,00:20:00:508402642,4003454
00:20:00:508402936,00:20:00:512397230,3994294
00:20:00:512397489,00:20:00:516407614,4010125
00:20:00:516408110,00:20:00:520399285,3991175
00:20:00:520399528,00:20:00:524393006,3993478
00:20:00:524393314,00:20:00:528399253,4005939
00:20:00:528399480,00:20:00:532409742,4010262
00:20:00:532410181,00:20:00:536423874,4013693
00:20:00:536424877,00:20:00:540401763,3976886
00:20:00:540402840,00:20:00:544403084,4000244
00:20:00:544403406,00:20:00:548404644,4001238
00:20:00:548405239,00:20:00:552404399,3999160
00:20:00:552404759,00:20:00:556400982,3996223
00:20:00:556401409,00:20:00:560393189,3991780
00:20:00:560393451,00:20:00:564398330,4004879
00:20:00:564398626,00:20:00:568404237,4005611
00:20:00:568404480,00:20:00:572401580,3997100
00:20:00:572401901,00:20:00:576397524,3995623
00:20:00:576397805,00:20:00:580402609,4004804
00:20:00:580402891,00:20:00:584424549,4021658
00:20:00:584424802,00:20:00:588399907,3975105
00:20:00:588400159,00:20:00:592398072,3997913
00:20:00:592398368,00:20:00:596401221,4002853
00:20:00:596401488,00:20:00:600398906,3997418
00:20:00:600399183,00:20:00:604403654,4004471
00:20:00:604403949,00:20:00:608397999,3994050
00:20:00:608398271,00:20:00:612405826,4007555
00:20:00:612406123,00:20:00:616400929,3994806
00:20:00:616401198,00:20:00:620403049,4001851
00:20:00:620403299,00:20:00:624400798,3997499
00:20:00:624401055,00:20:00:628397655,3996600
00:20:00:628397925,00:20:00:632403747,4005822
00:20:00:632404041,00:20:00:636407997,4003956
00:20:00:636408274,00:20:00:640406955,3998681
00:20:00:640407441,00:20:00:644397486,3990045
00:20:00:644397759,00:20:00:648403951,4006192
00:20:00:648404220,00:20:00:652401469,3997249
00:20:00:652401764,00:20:00:656410159,4008395
00:20:00:656410491,00:20:00:660437145,4026654
00:20:00:660437438,00:20:00:664398288,3960850
00:20:00:664398586,00:20:00:668399913,4001327
00:20:00:668400173,00:20:00:672395806,3995633
00:20:00:672396071,00:20:00:676403159,4007088
