Start - HH:MM:SS:NANOSECONDS,     End - HH:MM:SS:NANOSECONDS,     Difference in NANOSECONDS
23:47:24:026838282,     23:47:24:027008029,     169747
23:47:24:027008193,     23:47:24:027170775,     162582
23:47:24:027170928,     23:47:24:027342163,     171235
23:47:24:027342320,     23:47:24:027512927,     170607
23:47:24:027513085,     23:47:24:027676252,     163167
23:47:24:027676431,     23:47:24:027846598,     170167
23:47:24:027846803,     23:47:24:028018962,     172159
23:47:24:028019123,     23:47:24:028179213,     160090
23:47:24:028179373,     23:47:24:028349905,     170532
23:47:24:028350060,     23:47:24:028521155,     171095
23:47:24:028521311,     23:47:24:028692616,     171305
23:47:24:028692794,     23:47:24:028862667,     169873
23:47:24:028862815,     23:47:24:029033657,     170842
23:47:24:029033804,     23:47:24:029204724,     170920
23:47:24:029204872,     23:47:24:029376052,     171180
23:47:24:029376200,     23:47:24:029546683,     170483
23:47:24:029546828,     23:47:24:029709282,     162454
23:47:24:029709467,     23:47:24:029880161,     170694
23:47:24:029880321,     23:47:24:030051253,     170932
23:47:24:030051406,     23:47:24:030221958,     170552
23:47:24:030222113,     23:47:24:030393006,     170893
23:47:24:030393176,     23:47:24:030555288,     162112
23:47:24:030555448,     23:47:24:030726664,     171216
23:47:24:030726829,     23:47:24:030896609,     169780
23:47:24:030896752,     23:47:24:031066909,     170157
23:47:24:031067053,     23:47:24:031221347,     154294
23:47:24:031221500,     23:47:24:031383435,     161935
23:47:24:031383587,     23:47:24:031554061,     170474
23:47:24:031554212,     23:47:24:031716282,     162070
23:47:24:031716440,     23:47:24:031878316,     161876
23:47:24:031878476,     23:47:24:032049031,     170555
23:47:24:032049169,     23:47:24:032209809,     160640
23:47:24:032209964,     23:47:24:032381712,     171748
23:47:24:032381861,     23:47:24:032543672,     161811
23:47:24:032543821,     23:47:24:032715779,     171958
23:47:24:032715950,     23:47:24:032886304,     170354
23:47:24:032886460,     23:47:24:033056918,     170458
23:47:24:033057071,     23:47:24:033219140,     162069
23:47:24:033219294,     23:47:24:033381177,     161883
23:47:24:033381331,     23:47:24:033542985,     161654
23:47:24:033543141,     23:47:24:033713273,     170132
23:47:24:033713429,     23:47:24:033885008,     171579
23:47:24:033885149,     23:47:24:034056277,     171128
23:47:24:034056424,     23:47:24:034226647,     170223
23:47:24:034226792,     23:47:24:034397948,     171156
23:47:24:034398104,     23:47:24:034569156,     171052
23:47:24:034569314,     23:47:24:034731504,     162190
23:47:24:034731657,     23:47:24:034902160,     170503
23:47:24:034902321,     23:47:24:035072501,     170180
23:47:24:035072648,     23:47:24:035243456,     170808
23:47:24:035243610,     23:47:24:035406031,     162421
23:47:24:035406185,     23:47:24:035567627,     161442
23:47:24:035567779,     23:47:24:035739830,     172051
23:47:24:035740026,     23:47:24:035910421,     170395
23:47:24:035910578,     23:47:24:036072167,     161589
23:47:24:036072314,     23:47:24:036243016,     170702
23:47:24:036243170,     23:47:24:036413838,     170668
23:47:24:036413993,     23:47:24:036585045,     171052
23:47:24:036585202,     23:47:24:036747152,     161950
23:47:24:036747318,     23:47:24:036917647,     170329
23:47:24:036917791,     23:47:24:037088831,     171040
23:47:24:037088977,     23:47:24:037259693,     170716
23:47:24:037259848,     23:47:24:037422512,     162664
23:47:24:037422663,     23:47:24:037583935,     161272
23:47:24:037584086,     23:47:24:037746132,     162046
23:47:24:037746284,     23:47:24:037916918,     170634
23:47:24:037917062,     23:47:24:038088169,     171107
23:47:24:038088307,     23:47:24:038258637,     170330
23:47:24:038258776,     23:47:24:038429629,     170853
23:47:24:038429768,     23:47:24:038600788,     171020
23:47:24:038600929,     23:47:24:038772686,     171757
23:47:24:038772834,     23:47:24:038933986,     161152
23:47:24:038934128,     23:47:24:039096170,     162042
23:47:24:039096314,     23:47:24:039266959,     170645
23:47:24:039267104,     23:47:24:039438180,     171076
23:47:24:039438308,     23:47:24:039608932,     170624
23:47:24:039609077,     23:47:24:039771191,     162114
23:47:24:039771336,     23:47:24:039941828,     170492
23:47:24:039941990,     23:47:24:040113343,     171353
23:47:24:040113490,     23:47:24:040283678,     170188
23:47:24:040283824,     23:47:24:040454897,     171073
23:47:24:040455051,     23:47:24:040627358,     172307
23:47:24:040627551,     23:47:24:040797349,     169798
23:47:24:040797520,     23:47:24:040957930,     160410
23:47:24:040958086,     23:47:24:041120935,     162849
23:47:24:041121096,     23:47:24:041283437,     162341
23:47:24:041283595,     23:47:24:041458164,     174569
23:47:24:041458321,     23:47:24:041634070,     175749
23:47:24:041634225,     23:47:24:041804604,     170379
23:47:24:041804751,     23:47:24:041974296,     169545
23:47:24:041974441,     23:47:24:042138089,     163648
23:47:24:042138236,     23:47:24:042308817,     170581
23:47:24:042308966,     23:47:24:042479627,     170661
23:47:24:042479774,     23:47:24:042651683,     171909
23:47:24:042651864,     23:47:24:042822289,     170425
23:47:24:042822444,     23:47:24:042983824,     161380
23:47:24:042983939,     23:47:24:043154809,     170870
23:47:24:043154966,     23:47:24:043317376,     162410
23:47:24:043317531,     23:47:24:043488221,     170690
23:47:24:043488376,     23:47:24:043659107,     170731
23:47:24:043659268,     23:47:24:043829575,     170307
23:47:24:043829732,     23:47:24:043991639,     161907
23:47:24:043991787,     23:47:24:044154234,     162447
23:47:24:044154382,     23:47:24:044324633,     170251
23:47:24:044324781,     23:47:24:044495508,     170727
23:47:24:044495654,     23:47:24:044667051,     171397
23:47:24:044667240,     23:47:24:044838153,     170913
23:47:24:044838314,     23:47:24:045010782,     172468
23:47:24:045011005,     23:47:24:045180449,     169444
23:47:24:045180630,     23:47:24:045342251,     161621
23:47:24:045342440,     23:47:24:045506444,     164004
23:47:24:045506697,     23:47:24:045699009,     192312
23:47:24:045699224,     23:47:24:045875069,     175845
